alpha,beta,sigma,x0_alpha,x0_beta,x0_sigma,func_obj,rmse
28417.33799455035,3922.6031149182286,17.995488953868186,28444.444444444445,110.0,8.0,49198.08,23.25162914659475
28419.782751053743,3922.848978018995,17.99559027034635,28444.444444444445,110.0,13.5,49197.95,23.251598735207633
28398.49462327991,3920.1951430271743,17.995226517854704,28444.444444444445,110.0,19.0,49199.07,23.251863888309526
28422.441400294643,3923.2499760765722,17.99556440600373,28444.444444444445,110.0,24.5,49197.81,23.25156563369689
28418.10062549193,3922.7062336362183,17.995497210529958,28444.444444444445,110.0,30.0,49198.04,23.251619652885598
28411.29047815555,3921.838116591058,17.995401496206433,28444.444444444445,155.0,8.0,49198.4,23.251704446310026
28418.29607205817,3922.738661437264,17.99549031126187,28444.444444444445,155.0,13.5,49198.03,23.251617219125382
28418.304777040732,3922.6032828177686,17.995626596724826,28444.444444444445,155.0,19.0,49198.03,23.251617158784967
28379.391085311512,3917.6708291655564,17.995037565678796,28444.444444444445,155.0,24.5,49200.08,23.25210222149712
28413.25926178771,3922.0392837480813,17.99547582895306,28444.444444444445,155.0,30.0,49198.3,23.251679933397497
28415.63417822653,3922.388750249319,17.995463105864648,28444.444444444445,200.0,8.0,49198.17,23.251650356630662
28415.18249008727,3922.3966570884018,17.995392378933964,28444.444444444445,200.0,13.5,49198.2,23.251655984388634
28407.226617524997,3921.3940891834222,17.995279559708308,28444.444444444445,200.0,19.0,49198.61,23.251755109013622
28416.247139447943,3922.409783431319,17.995528865124605,28444.444444444445,200.0,24.5,49198.14,23.251642737171004
28413.650934552134,3922.196802692951,17.995375694751115,28444.444444444445,200.0,30.0,49198.28,23.251675054463004
33760.74793356565,4621.819250949102,18.044970721066445,33833.33333333333,20.0,8.0,48965.09,23.196505413184536
33794.03372534438,4626.182911880038,18.045221722418333,33833.33333333333,20.0,13.5,48963.89,23.19622120899447
33800.516087151576,4627.001273059268,18.045297296379513,33833.33333333333,20.0,19.0,48963.65,23.19616593516284
33801.59410598594,4627.10668381236,18.04533542604223,33833.33333333333,20.0,24.5,48963.61,23.19615675251107
33789.977803098256,4625.583071151664,18.045246713739957,33833.33333333333,20.0,30.0,48964.03,23.19625581938873
33786.012230776454,4625.164660562228,18.045136142107477,33833.33333333333,65.0,8.0,48964.17,23.196289644928214
33783.708655728915,4624.83051339691,18.045141738613875,33833.33333333333,65.0,13.5,48964.26,23.196309302009052
33795.78516994727,4626.41365766093,18.045232949210902,33833.33333333333,65.0,19.0,48963.82,23.196206271523643
33803.82699253677,4627.472834103237,18.04529122792646,33833.33333333333,65.0,24.5,48963.53,23.19613770678625
33793.83824307618,4626.238857740078,18.04515086167402,33833.33333333333,65.0,30.0,48963.89,23.19622288032537
33809.760082295965,4628.17417015903,18.045400773841997,33833.33333333333,110.0,8.0,48963.32,23.196087156272267
33787.9980996641,4625.350680877947,18.045215319815025,33833.33333333333,110.0,13.5,48964.1,23.1962727079483
33802.046813664725,4627.275779873324,18.045246498931213,33833.33333333333,110.0,19.0,48963.6,23.196152881632024
33796.251101441696,4626.505893313778,18.045207854947144,33833.33333333333,110.0,24.5,48963.81,23.196202298878777
33805.225997940805,4627.612310097273,18.045338372636508,33833.33333333333,110.0,30.0,48963.48,23.196125787472784
33794.65013381907,4626.1874790181355,18.045285001696325,33833.33333333333,155.0,8.0,48963.86,23.196215971090098
33802.879682369654,4627.517971215925,18.045140297782094,33833.33333333333,155.0,13.5,48963.57,23.196145816284307
33803.60356083014,4627.441978776598,18.045289683284985,33833.33333333333,155.0,19.0,48963.54,23.196139611407236
33806.27328696106,4627.728512883345,18.045364354504773,33833.33333333333,155.0,24.5,48963.45,23.196116866123468
33805.82309209313,4627.660938287416,18.045360671343456,33833.33333333333,155.0,30.0,48963.46,23.196120714706144
33767.896138407676,4622.77806798357,18.045004524636816,33833.33333333333,200.0,8.0,48964.83,23.19644432607828
33766.49042287504,4622.51070203775,18.04506602435553,33833.33333333333,200.0,13.5,48964.88,23.19645634963971
33803.04460547536,4627.3343250201415,18.045310287471263,33833.33333333333,200.0,19.0,48963.56,23.19614438362283
33802.19798116558,4627.633258666105,18.044954908269588,33833.33333333333,200.0,24.5,48963.59,23.196151792636332
33791.54121141377,4625.849700831654,18.045208211200404,33833.33333333333,200.0,30.0,48963.98,23.196242470229194
39183.65342765864,5331.981630110446,18.081282236940847,39222.22222222222,20.0,8.0,48798.59,23.157034881408944
39127.243991411415,5324.470001185146,18.081038506728287,39222.22222222222,20.0,13.5,48800.07,23.157385007858718
39196.2646472281,5333.599647071744,18.081379648008127,39222.22222222222,20.0,19.0,48798.26,23.156956747693688
39172.508451068825,5330.627801388451,18.081117315818208,39222.22222222222,20.0,24.5,48798.88,23.157104094662355
39158.95513321106,5328.784271066287,18.081111803037178,39222.22222222222,20.0,30.0,48799.24,23.157188055874645
39186.29164436383,5331.963738488848,18.08156542045065,39222.22222222222,65.0,8.0,48798.52,23.157018602383182
39196.685753388796,5333.419849200896,18.081552482247996,39222.22222222222,65.0,13.5,48798.25,23.156954169937265
39193.55606285265,5333.0678224089115,18.081494867065715,39222.22222222222,65.0,19.0,48798.33,23.15697353287116
39182.681557127966,5331.734497782844,18.081364888472702,39222.22222222222,65.0,24.5,48798.62,23.157040894216273
39184.999365500116,5332.064068710051,18.081361230567634,39222.22222222222,65.0,30.0,48798.56,23.157026530422034
39185.45134850254,5332.096215032097,18.08138005177194,39222.22222222222,110.0,8.0,48798.55,23.1570237302006
39188.80612038826,5332.470940745841,18.081437641732673,39222.22222222222,110.0,13.5,48798.46,23.157002973049195
39182.95752731569,5331.63979548146,18.081467816238852,39222.22222222222,110.0,19.0,48798.61,23.157039213706454
39181.751124756614,5331.597842379613,18.08137130211608,39222.22222222222,110.0,24.5,48798.64,23.157046661831917
39194.22673734355,5333.192115822799,18.081471544949736,39222.22222222222,110.0,30.0,48798.32,23.156969371052103
39194.09387737486,5333.31167620391,18.08136929365362,39222.22222222222,155.0,8.0,48798.32,23.156970191556784
39187.23011058361,5332.276889170301,18.081428953103234,39222.22222222222,155.0,13.5,48798.5,23.157012714234064
39191.46255270354,5332.894909638359,18.081408212407652,39222.22222222222,155.0,19.0,48798.39,23.156986486176297
39174.876823699946,5330.782427207551,18.081268390402055,39222.22222222222,155.0,24.5,48798.82,23.157089276872036
39168.79939932374,5329.921285962548,18.081279879617824,39222.22222222222,155.0,30.0,48798.98,23.15712696253712
39189.54581744069,5332.648063705131,18.08139523769753,39222.22222222222,200.0,8.0,48798.44,23.15699836030583
39168.9684829085,5329.955323981913,18.081282165854876,39222.22222222222,200.0,13.5,48798.98,23.15712592609772
39135.934781102194,5325.685363088876,18.081039124699757,39222.22222222222,200.0,19.0,48799.84,23.157330984536102
39190.41193613499,5332.752575561139,18.081404352557733,39222.22222222222,200.0,24.5,48798.42,23.156992994917935
39190.463559789525,5332.763711130896,18.08140274599674,39222.22222222222,200.0,30.0,48798.41,23.15699267469218
44582.89834479317,6039.232983670881,18.108707421532106,44611.11111111111,20.0,8.0,48675.84,23.12789055036682
44567.853040133836,6037.204878413752,18.10867242231823,44611.11111111111,20.0,13.5,48676.14,23.127961294974398
44536.41456060625,6033.082786255918,18.10853667451301,44611.11111111111,20.0,19.0,48676.76,23.128109311549743
44581.326271347185,6038.893464884473,18.108785054259165,44611.11111111111,20.0,24.5,48675.87,23.127897919589724
44572.171694265235,6037.670684235244,18.108759166322443,44611.11111111111,20.0,30.0,48676.05,23.127940969974446
44578.646815731954,6038.488015534141,18.10881037372744,44611.11111111111,65.0,8.0,48675.92,23.127910519419984
44568.89237230467,6037.145744089153,18.108804792283117,44611.11111111111,65.0,13.5,48676.12,23.12795640552608
44572.296313687606,6037.749706530449,18.108718662305176,44611.11111111111,65.0,19.0,48676.05,23.127940386954375
44575.89298322421,6038.1852208295195,18.108757756021355,44611.11111111111,65.0,24.5,48675.98,23.127923468353757
44556.43121214454,6035.321195009219,18.108876966834956,44611.11111111111,65.0,30.0,48676.36,23.12801511132446
44572.39136235454,6037.764726367615,18.108719602342997,44611.11111111111,110.0,8.0,48676.05,23.127939940658145
44569.12563496122,6037.2464857151535,18.108762849626725,44611.11111111111,110.0,13.5,48676.11,23.127955299454026
44566.950190176554,6037.407815418145,18.1084610887224,44611.11111111111,110.0,19.0,48676.15,23.12796568873702
44544.48493692968,6034.136150356286,18.10857546478014,44611.11111111111,110.0,24.5,48676.6,23.128071292832296
44581.627283751004,6038.923895210713,18.108790089264037,44611.11111111111,110.0,30.0,48675.86,23.127896504870925
44579.6092177909,6038.7032082882015,18.108754699739006,44611.11111111111,155.0,8.0,48675.9,23.127905995164944
44571.74336372073,6037.58607196978,18.108782654180096,44611.11111111111,155.0,13.5,48676.06,23.127942992885767
44567.21119454999,6036.987448889725,18.10875873994331,44611.11111111111,155.0,19.0,48676.15,23.12796430651871
44555.04709062216,6035.223858294722,18.10881730527339,44611.11111111111,155.0,24.5,48676.39,23.128021590090007
44572.76352839469,6037.622623330583,18.108842017985264,44611.11111111111,155.0,30.0,48676.04,23.127938201680283
44573.04295779114,6037.741978686802,18.108791601338922,44611.11111111111,200.0,8.0,48676.03,23.127936873811485
44578.256980376646,6038.43085757846,18.108808955866902,44611.11111111111,200.0,13.5,48675.93,23.12791235291749
44569.677578453804,6037.239531695913,18.108827176191493,44611.11111111111,200.0,19.0,48676.1,23.127952732209092
44575.50155132377,6038.153804847688,18.108743759028172,44611.11111111111,200.0,24.5,48675.98,23.127925310326717
44570.43795750276,6037.453372705267,18.108745398798924,44611.11111111111,200.0,30.0,48676.08,23.12794912526368
49936.921163447216,6740.690158532282,18.130065817853687,50000.0,20.0,8.0,48581.96,23.105577706378018
49971.02250739341,6744.796312074991,18.130392442881053,50000.0,20.0,13.5,48581.43,23.105451832344464
49971.95787411709,6745.092750917915,18.130298297931326,50000.0,20.0,19.0,48581.42,23.10544835097591
49954.00853936205,6742.53894627033,18.130354057586015,50000.0,20.0,24.5,48581.7,23.105514620302262
49969.35461685868,6744.685915641249,18.13032836737355,50000.0,20.0,30.0,48581.46,23.105457958898644
49958.51955548003,6743.5365446855985,18.130123606139414,50000.0,65.0,8.0,48581.63,23.105497969697385
49916.364101802734,6737.818156982296,18.130097309010374,50000.0,65.0,13.5,48582.28,23.105653660468867
49958.48248668885,6743.3351376141745,18.13024679409859,50000.0,65.0,19.0,48581.63,23.105498071199364
49929.9506356535,6739.593141134341,18.130144086464394,50000.0,65.0,24.5,48582.07,23.10560344146634
49947.25750559483,6741.790580796506,18.130250255749264,50000.0,65.0,30.0,48581.8,23.105539515208815
49960.424164506534,6743.350677428969,18.130398460540093,50000.0,110.0,8.0,48581.6,23.105490954578965
49947.28281809155,6741.640251209751,18.130336626499037,50000.0,110.0,13.5,48581.8,23.105539459316205
49952.861355142886,6742.573399983889,18.130236963459488,50000.0,110.0,19.0,48581.72,23.10551882417973
49968.92277429447,6744.709243236715,18.1302832943732,50000.0,110.0,24.5,48581.47,23.105459548557164
49968.70201758605,6744.670939681772,18.130284824835158,50000.0,110.0,30.0,48581.47,23.10546036135025
49962.39695646603,6744.264976412607,18.130015977253098,50000.0,155.0,8.0,48581.57,23.10548374248475
49962.314780440145,6743.770795524002,18.13029989180186,50000.0,155.0,13.5,48581.57,23.105483932561523
49932.39145253183,6739.759956021527,18.130235835738123,50000.0,155.0,19.0,48582.03,23.105594456773748
49941.32387567032,6741.06997862789,18.13019546168867,50000.0,155.0,24.5,48581.89,23.10556142345686
49962.680590289936,6743.935877589019,18.130231789564156,50000.0,155.0,30.0,48581.56,23.105482579266223
49954.7106777057,6742.80733187282,18.130256194794853,50000.0,200.0,8.0,48581.69,23.105511996556288
49949.23546041886,6742.259121105467,18.13013434679738,50000.0,200.0,13.5,48581.77,23.10553221755052
49964.40094896958,6744.0898113228695,18.130283345542303,50000.0,200.0,19.0,48581.54,23.105476232987645
49951.81944943898,6742.572779314623,18.13015843461104,50000.0,200.0,24.5,48581.73,23.105522673433867
49966.40581732174,6744.352507749349,18.130288981534598,50000.0,200.0,30.0,48581.5,23.105468834194586
